"sku","name","sentimentscore","sentimentmagnitude"
"GGOEGAAX0592"," Men's Airflow 1/4 Zip Pullover Black","-0.2","1.5"
"GGOEGBMC056599","Waterproof Gear Bag","-0.1","1.2"
"GGOEGAAX0282","Android Women's Short Sleeve Badge Tee Dark Heather","-0.4","1.2"
"GGOEGAAX0168"," Pet Feeding Mat","-0.4","1.2"
"GGOEGAAX0351"," Men's Vintage Henley","-0.5","1.4"
"GGOEGEHQ024099","Clip-on Compact Charger","-0.3","1.4"
"GGOEGAAX0344"," Women's Vintage Hero Tee Platinum","-0.5","1.1"
"GGOEGCNB021099","Seat Pack Organizer","-0.4","1.3"
"GGOEGAAX0607"," Women's Convertible Vest-Jacket Sea Foam Green","-0.5","1.8"
"GGOEGAAX0606"," Women's Convertible Vest-Jacket Black","-0.3","1.8"
"GGOEGAAX0334","Android Men's Long Sleeve Badge Crew Tee Heather","-0.1","1.8"
